feature,gain
date_index.num,0.18168457541371083
mort_rate,0.15500936925106917
precipitation_sum,0.07558361900237237
temperature_2m_mean,0.07363793676645058
sunshine_duration,0.06918694495515344
date_sin3_K1,0.05499108378730709
date_cos12_K1,0.05113226095981073
date_sin12_K1,0.042834775885732056
date_sin12_K2,0.042120076780807314
temperature_2m_min,0.037753421018373944
temperature_2m_max,0.03243793538413189
date_wday,0.025813330520206467
date_cos3_K1,0.02239000589120095
date_cos12_K2,0.020835086771613054
date_qday,0.014124232021574415
date_week.iso,0.01291099442444942
date_week3,0.0099943924832384
snowfall_sum,0.009815660140065937
date_yday,0.007901456003272592
date_month,0.007304629311571929
date_mweek,0.006812256504355996
date_wday.lbl_4,0.005677104133697864
date_wday.lbl_2,0.0049340917352762095
date_wday.lbl_5,0.004777555648197613
date_wday.lbl_3,0.004527231849724995
date_month.lbl_04,0.004026721455138816
date_wday.lbl_6,0.003889515584832566
date_month.lbl_10,0.003284444835306927
date_month.lbl_05,0.003149169251956831
date_month.lbl_11,0.0030268033317212817
date_month.lbl_03,0.0025881315561602854
date_week4,0.002582284381094675
date_month.lbl_08,0.0023054880262524217
date_week2,0.002192941029824107
date_half,0.0014563467098685037
date_quarter,0.001370326723185942
date_month.lbl_07,0.001166790268834876
date_month.lbl_06,0.0011516748379562015
date_month.lbl_02,0.0010837999858973894
